PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40417475","OCTOPUS: Disk-based, Multiplatform, Mobile-friendly Metagenomics Classifier","Marini S, Barquero A, Wadhwani AA, Bian J, Ruiz J, Boucher C, Prosperi M.","AMIA Annu Symp Proc. 2025 May 22;2024:798-807. eCollection 2024.","Marini S","AMIA Annu Symp Proc","2025","2025/05/26","PMC12099329","",""
"40407333","Complete genome sequences of two Campylobacter bilis isolates from layer chickens with spotty liver disease","Gadu E, Hashish A, Shelkamy MMS, Chaves M, Srednik ME, Sato Y, El-Gazzar M.","Microbiol Resour Announc. 2025 Jun 12;14(6):e0130524. doi: 10.1128/mra.01305-24. Epub 2025 May 23.","Gadu E","Microbiol Resour Announc","2025","2025/05/23","PMC12160480","","10.1128/mra.01305-24"
"40404632","Genome-scale metabolic network reconstruction analysis identifies bacterial vaginosis-associated metabolic interactions","Dillard LR, Glass EM, Kolling GL, Thomas-White K, Wever F, Markowitz R, Lyttle D, Papin JA.","Nat Commun. 2025 May 22;16(1):4768. doi: 10.1038/s41467-025-59965-y.","Dillard LR","Nat Commun","2025","2025/05/22","PMC12098912","","10.1038/s41467-025-59965-y"
"40400687","Topological data analysis captures horizontal gene transfer in antimicrobial resistance gene families among clinically relevant bacteria","Guerrero-Flores S, Contreras-Peruyero H, Ibarra-Rodríguez JM, Lovaco-Flores JA, Nieto-de la Rosa FS, Fontove-Herrera F, Sélem-Mojica N.","Front Microbiol. 2025 May 7;16:1461293. doi: 10.3389/fmicb.2025.1461293. eCollection 2025.","Guerrero-Flores S","Front Microbiol","2025","2025/05/22","PMC12092391","","10.3389/fmicb.2025.1461293"
"40397871","Horizontal gene transfer of molecular weapons can reshape bacterial competition","Granato ET, Palmer JD, Kirk C, Sharp C, Shillcock G, Foster KR.","PLoS Biol. 2025 May 21;23(5):e3003095. doi: 10.1371/journal.pbio.3003095. eCollection 2025 May.","Granato ET","PLoS Biol","2025","2025/05/21","PMC12094771","","10.1371/journal.pbio.3003095"
"40396716","Evolutionary accumulation modeling in AMR: machine learning to infer and predict evolutionary dynamics of multi-drug resistance","Renz J, Dauda KA, Aga ONL, Diaz-Uriarte R, Löhr IH, Blomberg B, Johnston IG.","mBio. 2025 Jun 11;16(6):e0048825. doi: 10.1128/mbio.00488-25. Epub 2025 May 21.","Renz J","mBio","2025","2025/05/21","PMC12153324","","10.1128/mbio.00488-25"
"40384975","HPD-Kit: a comprehensive toolkit for pathogen detection and analysis","Que T, Li W, Zhang Z, He Y, He K, Qiu H, Huang J, Lu Z, Jiang C, Huang Y, Huang H, Wu Q, Chen P, Hu Y, Liu W.","Front Cell Infect Microbiol. 2025 May 2;15:1580165. doi: 10.3389/fcimb.2025.1580165. eCollection 2025.","Que T","Front Cell Infect Microbiol","2025","2025/05/19","PMC12081367","","10.3389/fcimb.2025.1580165"
"40376455","Identifying potential novel widespread determinants of bacterial pathogenicity using phylogenetic-based orthology analysis","Ribeiro S, Alves K, Nourikyan J, Lavergne JP, de Bernard S, Buffat L.","Front Microbiol. 2025 May 1;16:1494490. doi: 10.3389/fmicb.2025.1494490. eCollection 2025.","Ribeiro S","Front Microbiol","2025","2025/05/16","PMC12078273","","10.3389/fmicb.2025.1494490"
"40375127","Nodules-associated Klebsiella oxytoca complex: genomic insights into plant growth promotion and health risk assessment","Youseif SH, El-Megeed FHA, Soliman MS, Ageez A, Mohamed AH, Ali SA, El-Kholy AA.","BMC Microbiol. 2025 May 15;25(1):294. doi: 10.1186/s12866-025-04002-7.","Youseif SH","BMC Microbiol","2025","2025/05/15","PMC12079993","","10.1186/s12866-025-04002-7"
"40371110","Emergence of an XDR Klebsiella pneumoniae ST5491 strain co-harboring NDM-5, MCR-1.1, tmexCD1-toprJ1, and a novel plasmid carrying CTX-M-15","Fang Y, Li X, Wu Z, Fang Y, Wang Y, Li X, Bu L, Chen K, Shen K, Ma Y, Wu M.","Front Microbiol. 2025 Apr 30;16:1581851. doi: 10.3389/fmicb.2025.1581851. eCollection 2025.","Fang Y","Front Microbiol","2025","2025/05/15","PMC12075367","","10.3389/fmicb.2025.1581851"
"40344384","Facilitating crRNA Design by Integrating DNA Interaction Features of CRISPR-Cas12a System","Yao Z, Li W, He K, Wang H, Xu Y, Wu Q, Wang L, Nie Y.","Adv Sci (Weinh). 2025 Jul;12(25):e2501269. doi: 10.1002/advs.202501269. Epub 2025 May 8.","Yao Z","Adv Sci (Weinh)","2025","2025/05/09","PMC12224974","","10.1002/advs.202501269"
"40333140","Mutational Analysis of Colistin-Resistant Pseudomonas aeruginosa Isolates: From Genomic Background to Antibiotic Resistance","De Sousa T, Wang HY, Lin TW, Caniça M, Ramos MJN, Santos D, Silva C, Saraiva S, Beyrouthy R, Bonnet R, Hébraud M, Igrejas G, Poeta P.","Pathogens. 2025 Apr 15;14(4):387. doi: 10.3390/pathogens14040387.","De Sousa T","Pathogens","2025","2025/05/07","PMC12030098","","10.3390/pathogens14040387"
"40329334","Simultaneous detection of pathogens and antimicrobial resistance genes with the open source, cloud-based, CZ ID platform","Lu D, Kalantar KL, Glascock AL, Chu VT, Guerrero ES, Bernick N, Butcher X, Ewing K, Fahsbender E, Holmes O, Hoops E, Jones AE, Lim R, McCanny S, Reynoso L, Rosario K, Tang J, Valenzuela O, Mourani PM, Pickering AJ, Raphenya AR, Alcock BP, McArthur AG, Langelier CR.","Genome Med. 2025 May 6;17(1):46. doi: 10.1186/s13073-025-01480-2.","Lu D","Genome Med","2025","2025/05/06","PMC12057172","","10.1186/s13073-025-01480-2"
"40317824","Rapid Colonisation of Plastic Surfaces by Marine Alcanivorax Bacteria Is Flagellum-Dependent and Influenced by Polymer Type and Photo-Weathering State","Davidov K, Itzahri S, Kartha A, Orr G, Lang Z, Navon-Venezia S, Oren M.","Environ Microbiol. 2025 May;27(5):e70102. doi: 10.1111/1462-2920.70102.","Davidov K","Environ Microbiol","2025","2025/05/03","PMC12046545","","10.1111/1462-2920.70102"
"40308209","BASys2: a next-generation bacterial genome annotation system","Poelzer J, Han S, Saha S, Oler E, Kruger R, Berjanskii M, MacKay S, Wishart DS.","Nucleic Acids Res. 2025 Jul 7;53(W1):W57-W67. doi: 10.1093/nar/gkaf360.","Poelzer J","Nucleic Acids Res","2025","2025/05/01","PMC12230659","","10.1093/nar/gkaf360"
"40303154","Abortion and Lethal Septicaemia in Sows Caused by a Non-ST194 Streptococcus equi subsp. zooepidemicus","Albert E, Kis IE, Kiss K, K-Jánosi K, de Oliveira Costa M, Tolnai G, Biksi I.","Transbound Emerg Dis. 2024 Jul 23;2024:4008946. doi: 10.1155/2024/4008946. eCollection 2024.","Albert E","Transbound Emerg Dis","2024","2025/04/30","PMC12016921","","10.1155/2024/4008946"
"40295995","Species-specific RNA barcoding technology for rapid and accurate identification of four types of influenza virus","Jiang S, Ding Y, Zhao G, Ye S, Liu S, Yin Y, Li Z, Zou X, Xie D, You C, Guo X.","BMC Genomics. 2025 Apr 28;26(1):409. doi: 10.1186/s12864-025-11602-0.","Jiang S","BMC Genomics","2025","2025/04/28","PMC12036255","","10.1186/s12864-025-11602-0"
"40284617","Effect of Two Selected Levels of Padina gymnospora Biowaste and Enteric Methane Emission, Nutrient Digestibility, and Rumen Metagenome in Growing Sheep","Mohapatra A, Trivedi S, Tejpal CS, Aware MJ, Vaswani S, Prajapati VJ, Kolte AP, Malik PK, Sahoo A, Ravishankar CN, Bhatta R.","Microorganisms. 2025 Mar 28;13(4):780. doi: 10.3390/microorganisms13040780.","Mohapatra A","Microorganisms","2025","2025/04/26","PMC12029469","","10.3390/microorganisms13040780"
"40273114","Genomic insights into the taxonomic status and bioactive gene cluster profiling of Bacillus velezensis RVMD2 isolated from desert rock varnish in Ma'an, Jordan","Alnaimat SM, Abushattal S, Dmour SM, Al-Awaida WJ, Ayyash AM, Goh KW.","PLoS One. 2025 Apr 24;20(4):e0319345. doi: 10.1371/journal.pone.0319345. eCollection 2025.","Alnaimat SM","PLoS One","2025","2025/04/24","PMC12021177","","10.1371/journal.pone.0319345"
"40269694","Providencia pseudovermicola sp. nov.: redefining Providencia vermicola and unveiling multidrug-resistant strains from diabetic foot ulcers in Egypt","Hamed SM, Darwish MM, Monir R, Taweel AA, Ghanem AI, Hanna IN, Amer MA.","BMC Microbiol. 2025 Apr 23;25(1):238. doi: 10.1186/s12866-025-03927-3.","Hamed SM","BMC Microbiol","2025","2025/04/24","PMC12016157","","10.1186/s12866-025-03927-3"
"40266657","Molecular epidemiology and emergence of sequence type 25 hypervirulent Klebsiella pneumoniae in pigs in the Netherlands (2013-2020): a global comparative analysis with human and pig isolates","Naing SY, Zomer A, der Graaf-van Bloois LV, Houben M, Junker K, Schreurs O, Heuvelink A, Wagenaar JA, van Hout J.","Microb Genom. 2025 Apr;11(4):001388. doi: 10.1099/mgen.0.001388.","Naing SY","Microb Genom","2025","2025/04/23","PMC12018708","","10.1099/mgen.0.001388"
"40262767","Warming is Associated With More Encoded Antimicrobial Resistance Genes and Transcriptions Within Five Drug Classes in Soil Bacteria: A Case Study and Synthesis","Hacopian MT, Barrón-Sandoval A, Romero-Olivares AL, Berlemont R, Treseder KK.","Environ Microbiol. 2025 Apr;27(4):e70097. doi: 10.1111/1462-2920.70097.","Hacopian MT","Environ Microbiol","2025","2025/04/22","PMC12014264","","10.1111/1462-2920.70097"
"40200306","A blueprint for contemporary studies of microbiomes","Bindels LB, Watts JEM, Theis KR, Carrion VJ, Ossowicki A, Seifert J, Oh J, Shao Y, Hilty M, Kumar P, Hildebrand F, Lovejoy C, Wigley P, Yu K, Zhang M, Zhang T, Walter J, Desai MS, Huws SA, Schriml LM, Ravel J, Fricke WF, Eloe-Fadrosh EA, Lee CK, Clavel T.","Microbiome. 2025 Apr 8;13(1):95. doi: 10.1186/s40168-025-02091-0.","Bindels LB","Microbiome","2025","2025/04/08","PMC11977902","","10.1186/s40168-025-02091-0"
"40184005","Plant Growth-Promoting Pseudomonas sp. TR47 Ameliorates Pepper (Capsicum annuum L. var. conoides Mill) Growth and Tolerance to Salt Stress","Bakelli A, Dif G, Djemouai N, Bouri M, Şahin F.","Curr Microbiol. 2025 Apr 4;82(5):231. doi: 10.1007/s00284-025-04217-x.","Bakelli A","Curr Microbiol","2025","2025/04/04","","","10.1007/s00284-025-04217-x"
"40169433","Genome mining reveals the biosynthetic potential of a novel Lysinibacillus zambalensis sp. nov., isolated from a hyperalkaline spring","Aja JA, Llorin LD, Lim KRQ, Teodosio JJ, Sioson EJ, Dy RL, Arcilla CA, Dalisay DS, Lazaro JEH.","Arch Microbiol. 2025 Apr 2;207(5):109. doi: 10.1007/s00203-025-04316-0.","Aja JA","Arch Microbiol","2025","2025/04/01","PMC11961540","","10.1007/s00203-025-04316-0"
"40162772","Whole-genome analysis of five Escherichia coli strains isolated from focal duodenal necrosis in laying hens reveals genetic similarities to the E. coli O25:H4 ST131 strain","Tsai Y-Y, Ienes Lima J, Alvarez Narvaez S, Logue CM.","Microbiol Spectr. 2025 May 6;13(5):e0211024. doi: 10.1128/spectrum.02110-24. Epub 2025 Mar 31.","Tsai Y-Y","Microbiol Spectr","2025","2025/03/31","PMC12054123","","10.1128/spectrum.02110-24"
"40153462","Mechanistic insights into dengue virus inhibition by a clinical trial compound NITD-688","Wang Y, Sun L, Fernandes L, Wang YH, Zou J, Franklin SJ, Hu Y, Palmer LK, Yeung J, Barriga D, Russell WK, Moquin SA, Shi PY, Skepper C, Xie X.","Proc Natl Acad Sci U S A. 2025 Apr;122(13):e2426922122. doi: 10.1073/pnas.2426922122. Epub 2025 Mar 28.","Wang Y","Proc Natl Acad Sci U S A","2025","2025/03/28","PMC12002330","","10.1073/pnas.2426922122"
"40139192","A thiouracil desulfurase protects Clostridioides difficile RNA from 4-thiouracil incorporation, providing a competitive advantage in the gut","Munneke MJ, Yuan Y, Preisner EC, Shelton CD, Carroll DT, Kirchoff NS, Dickson KP, Cantu JO, Douglass MV, Calcutt MW, Gibson-Corley KN, Nicholson MR, Byndloss MX, Britton RA, de Crécy-Lagard V, Skaar EP.","Cell Host Microbe. 2025 Apr 9;33(4):573-588.e7. doi: 10.1016/j.chom.2025.03.001. Epub 2025 Mar 25.","Munneke MJ","Cell Host Microbe","2025","2025/03/26","PMC11985272","NIHMS2063643","10.1016/j.chom.2025.03.001"
"40138008","Bioinformatic strategies in metagenomics of chronic prostatitis","Davasaz Tabrizi E, Sevil M, Arican E.","World J Urol. 2025 Mar 26;43(1):188. doi: 10.1007/s00345-025-05514-7.","Davasaz Tabrizi E","World J Urol","2025","2025/03/26","PMC11947071","","10.1007/s00345-025-05514-7"
"40137760","Insights into Functions of Universal Stress Proteins Encoded by Genomes of Gastric Cancer Pathogen Helicobacter pylori and Related Bacteria","Isokpehi RD, Simmons SS, Makolo AU, Hollman AL, Adesida SA, Ojo OO, Abioye AO.","Pathogens. 2025 Mar 13;14(3):275. doi: 10.3390/pathogens14030275.","Isokpehi RD","Pathogens","2025","2025/03/26","PMC11944479","","10.3390/pathogens14030275"
"40124894","Isolation, characterization, and genomic analysis of a novel bacteriophage vB_Kp_XP4 targeting hypervirulent and multidrug-resistant Klebsiella pneumoniae","Peng X, Chang J, Zhang H, Li X, Zhang C, Jiao S, Lv C, Wang N, Zhao J, Wang B, Zhang W, Zhang Z.","Front Microbiol. 2025 Mar 7;16:1491961. doi: 10.3389/fmicb.2025.1491961. eCollection 2025.","Peng X","Front Microbiol","2025","2025/03/24","PMC11925924","","10.3389/fmicb.2025.1491961"
"40124291","Linked avian influenza epidemiological and genomic data in EMPRES-i for epidemic intelligence (2012-2021)","Arınık N, Interdonato R, Roche M, Teisseire M.","Data Brief. 2025 Feb 25;59:111410. doi: 10.1016/j.dib.2025.111410. eCollection 2025 Apr.","Arınık N","Data Brief","2025","2025/03/24","PMC11930225","","10.1016/j.dib.2025.111410"
"40121280","Tryptic oncopeptide secreted from the gut bacterium Cronobacter malonaticus PO3 promotes colorectal cancer","Shastry RP, Hameed A, Banerjee S, Prabhu A, Bajire SK, Pavan SR, Dhanyashree HR, Kotimoole CN, Stothard P, Surya S, Keshava Prasad TS, Shetty R, Shen FT, Bhandary YP.","Sci Rep. 2025 Mar 22;15(1):9958. doi: 10.1038/s41598-025-94666-y.","Shastry RP","Sci Rep","2025","2025/03/23","PMC11929907","","10.1038/s41598-025-94666-y"
"40116507","Salmonella enterica serovar Braenderup shows clade-specific source associations and a high proportion of molecular epidemiological clustering","Chaggar HK, Hudson LK, Orejuela K, Thomas L, Spann M, Garman KN, Dunn JR, Denes TG.","Appl Environ Microbiol. 2025 Apr 23;91(4):e0259424. doi: 10.1128/aem.02594-24. Epub 2025 Mar 21.","Chaggar HK","Appl Environ Microbiol","2025","2025/03/21","PMC12016519","","10.1128/aem.02594-24"
"40106178","First report of Moraxella oculi in Brazil in an infectious bovine keratoconjunctivitis outbreak","de Carvalho CV, Domingues R, de Carvalho Coutinho C, de Brito Silva Honório NT, Ribeiro de Lima Reis Faza D, Barbosa Ferreira-Machado A, Carvalho WA, Gaspar EB, Martins MF.","Vet Res Commun. 2025 Mar 19;49(3):143. doi: 10.1007/s11259-025-10713-z.","de Carvalho CV","Vet Res Commun","2025","2025/03/19","","","10.1007/s11259-025-10713-z"
"40084890","Novel anaerobic selenium oxyanion reducers native to FGD wastewater for enhanced selenium removal","Sarkar P, Beebe M, Bhandari G, Wielinski J, Lowry GV, Gulliver D.","Appl Environ Microbiol. 2025 Apr 23;91(4):e0122224. doi: 10.1128/aem.01222-24. Epub 2025 Mar 14.","Sarkar P","Appl Environ Microbiol","2025","2025/03/14","PMC12016495","","10.1128/aem.01222-24"
"40080202","Genetic Diversity in Antimicrobial Resistance Determinants Among Pathogenic Pseudomonas aeruginosa in India","Rathod M, Shukla S, Sanapala P, Rajni E, Maheshwari G, Gajjar D.","Curr Microbiol. 2025 Mar 13;82(5):189. doi: 10.1007/s00284-025-04174-5.","Rathod M","Curr Microbiol","2025","2025/03/13","","","10.1007/s00284-025-04174-5"
"40078665","A secure visualization platform for pathogenic genome analysis with an accurate reference database","Fan G, Guo C, Zhang Q, Liu D, Sun Q, Cui Z, Zhou H, Zhou Y, Guo Z, Ma J, Wu L.","Biosaf Health. 2024 Jul 10;6(4):235-243. doi: 10.1016/j.bsheal.2024.07.003. eCollection 2024 Aug.","Fan G","Biosaf Health","2024","2025/03/13","PMC11894998","","10.1016/j.bsheal.2024.07.003"
"40062850","Draft genome sequences of four lactic acid bacteria from fermented chicken meat unveil biosynthetic gene clusters for antimicrobial compounds","Alam M, Hassan T, Nizami TA, Akter L, Rakib TM.","Microbiol Resour Announc. 2025 Apr 10;14(4):e0003825. doi: 10.1128/mra.00038-25. Epub 2025 Mar 10.","Alam M","Microbiol Resour Announc","2025","2025/03/10","PMC11984134","","10.1128/mra.00038-25"
"40047913","Enterococcus hailinensis sp. nov., Isolated from Traditional Chinese Pickle","Wang TY, Wang H, Gu CT.","Curr Microbiol. 2025 Mar 6;82(4):171. doi: 10.1007/s00284-025-04143-y.","Wang TY","Curr Microbiol","2025","2025/03/06","","","10.1007/s00284-025-04143-y"
"40044729","Cross-species and mammal-to-mammal transmission of clade 2.3.4.4b highly pathogenic avian influenza A/H5N1 with PB2 adaptations","Pardo-Roa C, Nelson MI, Ariyama N, Aguayo C, Almonacid LI, Gonzalez-Reiche AS, Muñoz G, Ulloa M, Ávila C, Navarro C, Reyes R, Castillo-Torres PN, Mathieu C, Vergara R, González Á, González CG, Araya H, Castillo A, Torres JC, Covarrubias P, Bustos P, van Bakel H, Fernández J, Fasce RA, Johow M, Neira V, Medina RA.","Nat Commun. 2025 Mar 6;16(1):2232. doi: 10.1038/s41467-025-57338-z.","Pardo-Roa C","Nat Commun","2025","2025/03/05","PMC11882949","","10.1038/s41467-025-57338-z"
"40028179","Molecular epidemiology and genetic dynamics of carbapenem-resistant hypervirulent Klebsiella pneumoniae in China","Li X, Chen S, Lu Y, Shen W, Wang W, Gao J, Gao J, Shao P, Zhou Z.","Front Cell Infect Microbiol. 2025 Feb 14;15:1529929. doi: 10.3389/fcimb.2025.1529929. eCollection 2025.","Li X","Front Cell Infect Microbiol","2025","2025/03/03","PMC11868059","","10.3389/fcimb.2025.1529929"
"40027340","Unraveling the Resistome, Virulome, and Pathogenicity of Escherichia Coli O157:H7 From Cattle Feces","Oluwarinde BO, Ajose DJ, Abolarinwa TO, Montso PK, Njom HA, Ateba CN.","Int J Microbiol. 2025 Feb 5;2025:5087461. doi: 10.1155/ijm/5087461. eCollection 2025.","Oluwarinde BO","Int J Microbiol","2025","2025/03/03","PMC11870765","","10.1155/ijm/5087461"
"40025202","A novel Kayvirus species phage RuSa1 removes biofilm and lyses multiple clinical strains of methicillin resistant Staphylococcus aureus","Suchithra KV, Hameed A, Rekha PD, Stothard P, Arun AB.","Sci Rep. 2025 Mar 1;15(1):7358. doi: 10.1038/s41598-025-92032-6.","Suchithra KV","Sci Rep","2025","2025/03/02","PMC11873149","","10.1038/s41598-025-92032-6"
"40023775","An Atypical Kappa-Class Chaperone-Usher Fimbriae of a Human Enterotoxigenic Escherichia coli Strain Shows Multi-Host Adherence and Distinct Phylogenetic Feature","Inoue H, Tanimoto Y, Zheng D, Ban-Furukawa E, Inoue M, Omori Y, Yamaguchi Y, Tachibana T, Aso H, Zhang W, Kage-Nakadai E, Nishikawa Y, Wada T.","Microbiol Immunol. 2025 May;69(5):270-279. doi: 10.1111/1348-0421.13208. Epub 2025 Mar 2.","Inoue H","Microbiol Immunol","2025","2025/03/02","PMC12050912","","10.1111/1348-0421.13208"
"40021498","Metagenomic Analysis of Surface Waters and Wastewater in the Colombian Andean Highlands: Implications for Health and Disease","Urrea V, Páez-Triana L, Velásquez-Ortiz N, Camargo M, Patiño LH, Vega L, Ballesteros N, Hidalgo-Troya A, Galeano LA, Ramírez JD, Muñoz M.","Curr Microbiol. 2025 Feb 28;82(4):162. doi: 10.1007/s00284-024-04019-7.","Urrea V","Curr Microbiol","2025","2025/02/28","PMC11870934","","10.1007/s00284-024-04019-7"
"40014144","Bioprospecting of 101 facultative rumen bacterial isolates through comprehensive genome analysis","Bhure M, Savaliya K, Patil S, Nehra C, Pandit R, Shah T, Patil NV, Patel AK, Kachhawaha S, Kumawat RN, Joshi M, Joshi CG.","Mol Biol Rep. 2025 Feb 27;52(1):265. doi: 10.1007/s11033-025-10291-y.","Bhure M","Mol Biol Rep","2025","2025/02/27","","","10.1007/s11033-025-10291-y"
"40000933","GRAMEP: an alignment-free method based on the maximum entropy principle for identifying SNPs","Pimenta-Zanon MH, Kashiwabara AY, Vanzela ALL, Lopes FM.","BMC Bioinformatics. 2025 Feb 25;26(1):66. doi: 10.1186/s12859-025-06037-z.","Pimenta-Zanon MH","BMC Bioinformatics","2025","2025/02/25","PMC11863517","","10.1186/s12859-025-06037-z"
"39998248","Comparison of Streptococcus pneumoniae isolates occurring in optochin-susceptible and optochin-resistant variants by analyzing whole-genome sequencing data","Vohrnová S, Kozáková J, Honskus M.","Microbiol Spectr. 2025 Apr;13(4):e0193924. doi: 10.1128/spectrum.01939-24. Epub 2025 Feb 25.","Vohrnová S","Microbiol Spectr","2025","2025/02/25","PMC11960131","","10.1128/spectrum.01939-24"
"39998243","Characterization of vaginal microbiomes in clinician-collected bacterial vaginosis diagnosed samples","Brochu HN, Zhang Q, Song K, Wang L, Deare EA, Williams JD, Icenhour CR, Iyer LK.","Microbiol Spectr. 2025 Apr;13(4):e0258224. doi: 10.1128/spectrum.02582-24. Epub 2025 Feb 25.","Brochu HN","Microbiol Spectr","2025","2025/02/25","PMC11960135","","10.1128/spectrum.02582-24"
"39991713","Systematic collection, annotation, and pattern analysis of viral vaccines in the VIOLIN vaccine knowledgebase","Huffman A, Gautam M, Gandhi A, Du P, Austin L, Roan K, Zheng J, He Y.","Front Cell Infect Microbiol. 2025 Feb 7;15:1509226. doi: 10.3389/fcimb.2025.1509226. eCollection 2025.","Huffman A","Front Cell Infect Microbiol","2025","2025/02/24","PMC11842373","","10.3389/fcimb.2025.1509226"
"39985673","Genome characterisation of three mycorrhizal helper bacterial strains isolated from a polycyclic aromatic hydrocarbon polluted site","Peczyk K, Siupka P, Magurno F, Malicka M, Piotrowska-Seget Z.","Mol Genet Genomics. 2025 Feb 22;300(1):24. doi: 10.1007/s00438-025-02232-y.","Peczyk K","Mol Genet Genomics","2025","2025/02/22","","","10.1007/s00438-025-02232-y"
"39982075","A new bacteriophage infecting Staphylococcus epidermidis with potential for removing biofilms by combination with chimeric lysin CHAPSH3b and vancomycin","Duarte AC, Fernández L, Rodríguez A, García P.","mSphere. 2025 Mar 25;10(3):e0101424. doi: 10.1128/msphere.01014-24. Epub 2025 Feb 21.","Duarte AC","mSphere","2025","2025/02/21","PMC11934314","","10.1128/msphere.01014-24"
"39979844","Genetic characterization and in silico serotyping of 62 Salmonella enterica isolated from Korean poultry operations","Hong H, Kang M, Haymowicz A, Le HNM, Kim E, Yang SM, Ha SD, Kim HJ, Park SH.","BMC Genomics. 2025 Feb 20;26(1):166. doi: 10.1186/s12864-025-11358-7.","Hong H","BMC Genomics","2025","2025/02/20","PMC11841271","","10.1186/s12864-025-11358-7"
"39969283","Genomic diversity and evolutionary patterns of Edwardsiella ictaluri affecting farmed striped catfish (Pangasianodon hypophthalmus) in Vietnam over 20 years","Payne CJ, Phuong VH, Phuoc NN, Dung TT, Phuoc LH, Crumlish M.","Microb Genom. 2025 Feb;11(2):001368. doi: 10.1099/mgen.0.001368.","Payne CJ","Microb Genom","2025","2025/02/19","PMC11840174","","10.1099/mgen.0.001368"
"39969228","Unveiling novel features and phylogenomic assessment of indigenous Priestia megaterium AB-S79 using comparative genomics","Adeniji AA, Chukwuneme CF, Conceição EC, Ayangbenro AS, Wilkinson E, Maasdorp E, de Oliveira T, Babalola OO.","Microbiol Spectr. 2025 Apr;13(4):e0146624. doi: 10.1128/spectrum.01466-24. Epub 2025 Feb 19.","Adeniji AA","Microbiol Spectr","2025","2025/02/19","PMC11960082","","10.1128/spectrum.01466-24"
"39966674","Comprehensive genomic insights into a highly pathogenic clone ST656 of mcr8.1 containing multidrug-resistant Klebsiella pneumoniae from Bangladesh","Mondol SM, Hossain MA, Haque FKM.","Sci Rep. 2025 Feb 18;15(1):5909. doi: 10.1038/s41598-025-90414-4.","Mondol SM","Sci Rep","2025","2025/02/18","PMC11836182","","10.1038/s41598-025-90414-4"
"39963938","Avian Migration-Mediated Transmission and Recombination Driving the Diversity of Gammacoronaviruses and Deltacoronaviruses","Xu Y, Han Y, Xu P, Zhou S, Zhao P, Wang Y, Hu J, Ma M, Li Z, Bo S, Zhao C, Ji L, Yuan Y, Zhao W, Wang J, Jin Q, He G, Wu Z.","Mol Biol Evol. 2025 Mar 5;42(3):msaf045. doi: 10.1093/molbev/msaf045.","Xu Y","Mol Biol Evol","2025","2025/02/18","PMC11886833","","10.1093/molbev/msaf045"
"39943733","Nanopore Sequencing of Amoebophrya Species Reveals Novel Collection of Bacteria Putatively Associated With Karlodinium veneficum","Tizabi D, Hill RT, Bachvaroff T.","Genome Biol Evol. 2025 Mar 6;17(3):evaf022. doi: 10.1093/gbe/evaf022.","Tizabi D","Genome Biol Evol","2025","2025/02/13","PMC11890096","","10.1093/gbe/evaf022"
"39943164","A Global Comparative Genomic Analysis of Major Bacterial Pathogens in Bovine Mastitis and Lameness","Kusza S, Bagi Z.","Animals (Basel). 2025 Jan 30;15(3):394. doi: 10.3390/ani15030394.","Kusza S","Animals (Basel)","2025","2025/02/13","PMC11815768","","10.3390/ani15030394"
"39934219","A comparative study of antibiotic resistance patterns in Mycobacterium tuberculosis","Serajian M, Testagrose C, Prosperi M, Boucher C.","Sci Rep. 2025 Feb 11;15(1):5104. doi: 10.1038/s41598-025-89087-w.","Serajian M","Sci Rep","2025","2025/02/11","PMC11814411","","10.1038/s41598-025-89087-w"
"39930978","Helicobacter pylori Infection in Colombia: Phylogeny, Resistome, and Virulome","Muñoz AB, Stepanian J, Solano-Gutierrez JS, Vale FF, Trespalacios-Rangel AA.","APMIS. 2025 Feb;133(2):e70003. doi: 10.1111/apm.70003.","Muñoz AB","APMIS","2025","2025/02/11","PMC11811748","","10.1111/apm.70003"
"39927357","First whole genome sequencing of Staphylococcus aureus isolates from Iraq: Insights into zoonotic relations and biofilm-related genes","Al-Bukhalifa MA, Al-Tameemi HM.","Open Vet J. 2024 Dec;14(12):3269-3288. doi: 10.5455/OVJ.2024.v14.i12.12. Epub 2024 Dec 31.","Al-Bukhalifa MA","Open Vet J","2024","2025/02/10","PMC11799623","","10.5455/OVJ.2024.v14.i12.12"
"39926107","Potential of Streptomyces rochei 8ER183 for poly(lactic acid)-degrading enzyme production, biodegradative capability, and its whole-genome sequence characterization","Sujarit K, Pannim B, Kuakkhunthod N, Uywannang U, Sakdapetsiri C, Panyachanakul T, Krajangsang S, Phanngoen S, Kitpreechavanich V, Lomthong T.","3 Biotech. 2025 Mar;15(3):55. doi: 10.1007/s13205-025-04219-3. Epub 2025 Feb 6.","Sujarit K","3 Biotech","2025","2025/02/10","PMC11802947","","10.1007/s13205-025-04219-3"
"39916849","Integrated assessment of mucilage impact on human health using the One Health approach: Prevalence and antimicrobial resistance profiles of Escherichia coli and Clostridium perfringens in the Marmara Sea, Türkiye","Yibar A, Ay H, Aydin F, Abay S, Karakaya E, Kayman T, Dalyan C, Koca FD, Aydogdu D, Ajmi N, Duman M, Saticioglu IB.","Heliyon. 2025 Jan 18;11(3):e42103. doi: 10.1016/j.heliyon.2025.e42103. eCollection 2025 Feb 15.","Yibar A","Heliyon","2025","2025/02/07","PMC11800074","","10.1016/j.heliyon.2025.e42103"
